,Car,Price,Location
0,1996 chevrolet silverado 1500 pickup,12500.0,national city
1,Toyota Tacoma X runner  2014,27500.0,Vista
2,2001 Ford Mustang GT Bullitt 4.6 Stick,3700.0,San Diego
3,2004 HONDA CRV 4X4,5995.0,2082 s e bristol ste ste 1 newport beach
5,2010 Jeep Wrangler 4WD Manual,10500.0,San Diego
7,2005 Toyota Prius,4000.0,San Diego
8,2014 Mercedes Benz C250,10700.0,San Diego
9,2007 Chevrolet Silverado,7200.0,Chula Vista
10,2008 Toyota corolla le,6995.0,2082 s e bristol ste ste 1 newport beach
11,VW Passat R Line,16500.0,SAN DIEGO
12,2007 LEXUS GX470,17995.0,2082 s e bristol ste ste 1 newport beach
13,"1971 Ford 250,",4250.0,"Alpine, Calif 91901"
14,2011 Porsche 911 Carrera 4S (7 year/100k mi ASE warranty included),68000.0,Carlsbad
15,BMW 428i M Sport,22900.0,San Diego
16,2013 Volkswagen Tiguan S - GOOD/BAD/NO CREDIT OK!,12499.0,+ Escondido Auto Super Center
17,2015 GMC Terrain SLE 1 AWD 4dr SUV - Buy Here Pay Here!,11995.0,+ Grand Auto Sales
18,2009 Subaru Impreza wagon sport,4250.0,Chula Vista
19,2012 Fiat 500 low miles!!,4250.0,San Diego
20,2019 Jeep Cherokee Limited,23000.0,Alpine
21,1999 Lincoln Town Car 73k Miles Smog,5950.0,San Diego / Los Angeles
22,2016 Mercedes Benz C300,13800.0,Miramar rd
23,"2012 Jeep Patriot Latitude 4x4, *86k Miles* Clean TTL Orig Owner",8500.0,Oceanside
24,Nissan Murano _ low miles!!,5800.0,city of san diego
25,2008 Subaru Outback AWD 1 owner,6499.0,Chula Vista
26,🌟2015 RAM 1500🤩🚘SUMMER SALE🤑GIANT SAVINGS 💰CALL $NOW➔,14975.0,822 W. VALLEY BLVD.BLOOMINGTON CA
27,"Mercedes SUV, 4-doors Beautiful Black 350 ML",8000.0,"Carlsbad, Ca."
28,2018 Honda Civic Hatchback,19000.0,San Diego
29,"2004 Volvo S60 2.5T AWD 4dr 1-Owner (77,000 Miles)",7995.0,Lemon Grove
30,1994 Ford f450 Super Duty,5500.0,Escondido
31,2013 Ford F150,16995.0,SAN DIEGO
32,96 Toyota T100 8'bed,5500.0,san diego
33,2011 Nissan rogue,2800.0,Chula Vista
34,"2011 Mazda 2 Sport Hatchback""Gas saver"" “CARFAX” “ Low MILES”",7999.0,Chula vista “898 Broadway”
36,2009 Hyundai Sonata MANUAL TRANSMISSION 292K Miles,2100.0,El Cajon
37,"🚗✨2016 NISSAN ALTIMA✨🚘SUMMER SALE 🤑WAS $11,975 || NOW",9975.0,822 W. VALLEY BLVD.BLOOMINGTON CA
38,$376/mo - 2014 Jeep Grand Cherokee Limited 4x4SUV 4 x 4 SUV 4-x-4-SUV,17499.0,Diamond Auto Sales
39,2006 Toyota Avalon,5000.0,Oceanside
40,2004 BMW X3 Public Auction Opening Bid,3000.0,"Mission Valley, CA"
41,2007 Kia Rondo Public Auction Opening Bid,3000.0,"Mission Valley, CA"
42,2013 Chevrolet Chevy Sonic Public Auction Opening Bid,4000.0,"Mission Valley, CA"
43,1999 Lincoln Town Car Public Auction Opening Bid,3000.0,"Mission Valley, CA"
44,2008 Land Rover LR2 Public Auction Opening Bid,4000.0,"Mission Valley, CA"
45,2001 Ford Focus Public Auction Opening Bid,2500.0,"Mission Valley, CA"
46,2004 Cadillac CTS Public Auction Opening Bid,3000.0,"Mission Valley, CA"
47,2011 GMC Terrain Public Auction Opening Bid,4500.0,"Mission Valley, CA"
48,2011 Hyundai Sonata Public Auction Opening Bid,3500.0,"Mission Valley, CA"
49,2012 Volkswagen VW Beetle Public Auction Opening Bid,6000.0,"Mission Valley, CA"
50,2010 INFINITI EX35 Public Auction Opening Bid,4000.0,"Mission Valley, CA"
51,2008 Honda Accord Cpe Public Auction Opening Bid,5000.0,"Mission Valley, CA"
52,2006 Ford Expedition Public Auction Opening Bid,3000.0,"Mission Valley, CA"
53,2015 Ford Fiesta Public Auction Opening Bid,5000.0,"Mission Valley, CA"
54,1998 Oldsmobile Intrigue Public Auction Opening Bid,2000.0,"Mission Valley, CA"
55,2013 BMW X5 Public Auction Opening Bid,7500.0,"Mission Valley, CA"
56,1997 BMW 5 Series Public Auction Opening Bid,2500.0,"Mission Valley, CA"
57,2005 Mitsubishi Galant Public Auction Opening Bid,4500.0,"Mission Valley, CA"
58,2012 Chevrolet Chevy Equinox Public Auction Opening Bid,4500.0,"Mission Valley, CA"
59,Selling off,15300.0,Clean carfax Toyota Avalon 2020 limited
60,2009 Ford Fusion Public Auction Opening Bid,5900.0,"Mission Valley, CA"
61,2015 Chevrolet Chevy Malibu Public Auction Opening Bid,5000.0,"Mission Valley, CA"
62,2012 Volvo XC60 Public Auction Opening Bid,4000.0,"Mission Valley, CA"
63,2002 GMC Yukon XL Denali Public Auction Opening Bid,3000.0,"Mission Valley, CA"
64,2002 Toyota Highlander Public Auction Opening Bid,3500.0,"Mission Valley, CA"
65,2000 Toyota Camry Solara Public Auction Opening Bid,2500.0,"Mission Valley, CA"
66,2008 Mazda CX-7 Public Auction Opening Bid,3500.0,"Mission Valley, CA"
67,2011 Hyundai Sonata GLSSedan 6A 6 A 6-A PRICED TO SELL!,7990.0,Bloom Auto Sales
68,2004 MINI Cooper Hardtop Public Auction Opening Bid,2000.0,"Mission Valley, CA"
69,2012 Ford Escape Public Auction Opening Bid,5000.0,"Mission Valley, CA"
70,$331/mo - 2008 Toyota 4Runner 4 Runner 4-Runner Limited 4WD 4 WD 4-WD,22999.0,Alpha Motors
71,2013 Mercedes-Benz GL-Class GL 450 4MATIC AWD 4dr SUV - Buy Here Pay Here!,15995.0,+ Grand Auto Sales
72,2015 Mercedes-Benz GLK-Class Public Auction Opening Bid,7000.0,"Mission Valley, CA"
73,2006 Toyota Sienna Public Auction Opening Bid,3000.0,"Mission Valley, CA"
74,2002 Volvo S60 Public Auction Opening Bid,2000.0,"Mission Valley, CA"
75,2014 Nissan Versa Note Public Auction Opening Bid,4600.0,"Mission Valley, CA"
76,1998 Ford Windstar Cargo Van Public Auction Opening Bid,2500.0,"Mission Valley, CA"
77,2008 Cadillac Escalade Public Auction Opening Bid,6000.0,"Mission Valley, CA"
78,2007 Scion tC Public Auction Opening Bid,3000.0,"Mission Valley, CA"
79,2013 Chevrolet Chevy Impala Public Auction Opening Bid,3500.0,"Mission Valley, CA"
80,2011 Subaru Forester Public Auction Opening Bid,5000.0,"Mission Valley, CA"
81,2008 Hyundai Elantra Public Auction Opening Bid,3000.0,"Mission Valley, CA"
82,2006 Mitsubishi Eclipse Public Auction Opening Bid,5000.0,"Mission Valley, CA"
83,2011 Chevrolet Chevy Equinox Public Auction Opening Bid,3500.0,"Mission Valley, CA"
84,2014 Nissan Rogue Select Public Auction Opening Bid,4000.0,"Mission Valley, CA"
85,2004 BMW 330CI CONVERTIBLE,9800.0,San Diego
86,"2008 ISUZU NPR, CHEVY W4500, 14FT DUMP! GASOLINE! CREW CAB, I FINANCE",45000.0,vehiclecenterandfinance.com
87,2014 Nissan Altima SV,5700.0,Carlsbad
88,Toyota Tacoma Low Miles 99k,4800.0,San jacinto
89,"🚗2013 KIA SORENTO📲CALL NOW HUGE SALE🤑WAS $9,975 || NOW",8975.0,822 W. VALLEY BLVD.BLOOMINGTON CA
90,Ford F-350 Lariat Dually,21500.0,Santee
91,2017 Volkswagen Jetta SE,15000.0,San Diego
92,2004 Toyota Camry Le-Garaged Car,3995.0,encinitas
94,2010 Mercedes-Benz Sprinter Van,42500.0,Vista
95,2018 Porsche Macan AWD All Wheel Drive Turbo Sport Utility 4D SUV,44490.0,Diplomat Motors
96,2013 bmw X5 only 73k miles,12900.0,Rancho Santa Fe
97,Nissan Leaf SL,4500.0,Chula Vista
98,2006 Honda Cr-v All Wheel Drive Clean Title,8700.0,Excellent Condition
99,Ford ranger,3900.0,San Marcos
100,2020 KIA Optima LX,16500.0,city of san diego
101,"2008 FORD F450, 12FT DUMP! 59K LOW MILES! GAS V10, I FINANCE HERE",45000.0,vehiclecenterandfinance.com
102,2010 Mazda 6,4000.0,city of san diego
103,2019 Land Rover Range Rover Sport AWD All Wheel Drive Supercharged Dyn,56990.0,Diplomat Motors
105,"2014 HYUNDAI SONATA, 4CYL, WARRANTY! I FINANCE HERE",6000.0,vehiclecenterandfinance.com
106,2016 GMC Savana 2500,21495.0,San Diego
108,2000 Jaguar XKR,4000.0,Vista
109,2016 Ford Explorer XLT - GOOD/BAD/NO CREDIT OK!,20750.0,+ Escondido Auto Super Center
110,1992 450 SL MERCEDES BENZ,3500.0,Carlsbad
111,2019 Audi Q8 AWD All Wheel Drive Prestige Sport Utility 4D SUV,46990.0,Diplomat Motors
112,2010 Mercedes Benz E class 350,10800.0,Temecula
113,2007 Toyota Sienna XLE Limited 7 Passenger AWD 4dr Mini Van - Buy Here Pay Here!,8995.0,+ Grand Auto Sales
114,2007 Mazdaspeed 3,7500.0,city of san diego
115,Vintage Berry Mini T VW Buggy,8500.0,Escondido
117,2019 ISUZU NPR HD 16ft. HIGH CUBE BOX TRUCK WITH LIFTGATE,44900.0,SAN JOSE
118,2013 Audi RS 5 AWD All Wheel Drive Coupe 2D Coupe,34990.0,Diplomat Motors
119,08 Mazda CX-7,4200.0,San diego
120,2017 Kia Rio LX SKU:24876 Kia Rio LX Sedan,7987.0,San Diego Auto Finders
